Driver,TyreEffect,RaceEffect,RMSE,LapsUsed,LapsRemoved,PoorFit
HUL,0.07659132362229118,-0.05051509958444339,0.18846462266507458,33,1,False
BOT,0.085710332500037,-0.06153733129473473,0.5027598432498359,40,1,False
ZHO,0.09358016645506828,-0.056392481309070944,0.2006442236209149,39,5,False
SAI,0.09426160562527004,-0.06066687819006079,0.134753699410155,36,4,False
RUS,0.0965196011332165,-0.06770452688272587,0.3740239715490759,43,0,False
HAM,0.09789648949229585,-0.07249383462503667,0.3103111019998618,42,0,False
LEC,0.09956435234374482,-0.0705311216337185,0.151759041533907,39,4,False
TSU,0.10281223776223536,-0.06360433119069435,0.31075392164131144,37,2,False
ALO,0.10695017034247681,-0.08489492558723427,0.3331615866134817,39,0,False
PIA,0.11122181214537988,-0.06535015784031219,0.1921409317794987,42,0,False
OCO,0.11777224279639537,-0.07253626590397527,0.3000750154372581,39,4,False
ALB,0.12145316957897778,-0.08588176367608998,0.26111898948890194,36,2,False
NOR,0.12206423936332939,-0.06757767676767622,0.12176577014345231,36,5,False
STR,0.1259035701738132,-0.08695815505609444,0.22764629882985069,43,2,False
GAS,0.1357065015479859,-0.06870650154798764,0.14401400016668123,27,0,False
MAG,0.14041042595946188,-0.07597057326038202,0.2445879382491784,40,2,False
